timestamp(ms),var,
"1718468352.534","656",
"1718468352.535","1247",
"1718468352.536","3055",
"1718468352.537","2575",
"1718468352.538","3232",
"1718468352.539","3360",
"1718468352.54","2190",
"1718468352.541","2765",
"1718468352.542","940",
"1718468352.543","1552",
"1718468352.544","699",
"1718468352.545","638",
"1718468352.546","1604",
"1718468352.547","999",
"1718468352.548","2839",
"1718468352.549","3349",
"1718468352.55","3217",
"1718468352.551","2474",
"1718468352.552","3051",
"1718468352.553","1234",
"1718468352.554","1859",
"1718468352.555","635",
"1718468352.556","743",
"1718468352.557","1257",
"1718468352.558","851",
"1718468352.559","2614",
"1718468352.56","1899",
"1718468352.561","3286",
"1718468352.562","3099",
"1718468352.563","2816",
"1718468352.564","1524",
"1718468352.565","2140",
"1718468352.566","649",
"1718468352.567","992",
"1718468352.568","1047",
"1718468352.569","650",
"1718468352.57","2219",
"1718468352.571","1601",
"1718468352.572","3269",
"1718468352.573","2855",
"1718468352.574","3040",
"1718468352.575","3273",
"1718468352.576","1809",
"1718468352.577","2533",
"1718468352.578","1226",
"1718468352.579","789",
"1718468352.58","597",
"1718468352.581","1911",
"1718468352.582","1323",
"1718468352.583","3130",
"1718468352.584","2555",
"1718468352.585","3206",
"1718468352.586","3323",
"1718468352.587","2186",
"1718468352.588","2832",
"1718468352.589","986",
"1718468352.59","1490",
"1718468352.591","674",
"1718468352.592","1607",
"1718468352.593","1005",
"1718468352.594","2871",
"1718468352.595","2230",
"1718468352.596","3288",
"1718468352.597","3248",
"1718468352.598","2518",
"1718468352.599","3026",
"1718468352.6","1200",
"1718468352.601","1838",
"1718468352.602","608",
"1718468352.603","788",
"1718468352.604","794",
"1718468352.605","2559",
"1718468352.606","1895",
"1718468352.607","3341",
"1718468352.608","3107",
"1718468352.609","2820",
"1718468352.61","3194",
"1718468352.611","1485",
"1718468352.612","2205",
"1718468352.613","682",
"1718468352.614","960",
"1718468352.615","1015",
"1718468352.616","653",
"1718468352.617","2222",
"1718468352.618","1614",
"1718468352.619","3268",
"1718468352.62","3010",
"1718468352.621","3281",
"1718468352.622","1816",
"1718468352.623","2540",
"1718468352.624","816",
"1718468352.625","1213",
"1718468352.626","783",
"1718468352.627","611",
"1718468352.628","1933",
"1718468352.629","1302",
"1718468352.63","3111",
"1718468352.631","2534",
"1718468352.632","3196",
"1718468352.633","3331",
"1718468352.634","2163",
"1718468352.635","973",
"1718468352.636","1476",
"1718468352.637","647",
"1718468352.638","669",
"1718468352.639","1611",
"1718468352.64","1007",
"1718468352.641","2859",
"1718468352.642","2227",
"1718468352.643","3289",
"1718468352.644","3275",
"1718468352.645","2518",
"1718468352.646","3058",
"1718468352.647","1196",
"1718468352.648","625",
"1718468352.649","787",
"1718468352.65","1303",
"1718468352.651","799",
"1718468352.652","2551",
"1718468352.653","1891",
"1718468352.654","3297",
"1718468352.655","3121",
"1718468352.656","2807",
"1718468352.657","3185",
"1718468352.658","1482",
"1718468352.659","2164",
"1718468352.66","659",
"1718468352.661","976",
"1718468352.662","638",
"1718468352.663","2234",
"1718468352.664","1591",
"1718468352.665","3259",
"1718468352.666","2879",
"1718468352.667","3060",
"1718468352.668","3290",
"1718468352.669","1814",
"1718468352.67","2515",
"1718468352.671","784",
"1718468352.672","1222",
"1718468352.673","827",
"1718468352.674","581",
"1718468352.675","1899",
"1718468352.676","3070",
"1718468352.695","720",
"1718468352.696","641",
"1718468352.697","1267",
"1718468352.698","783",
"1718468352.699","2534",
"1718468352.7","1955",
"1718468352.701","3343",
"1718468352.702","3109",
"1718468352.703","2804",
"1718468352.704","3168",
"1718468352.705","1466",
"1718468352.706","652",
"1718468352.707","965",
"1718468352.708","1033",
"1718468352.709","646",
"1718468352.71","2229",
"1718468352.711","1591",
"1718468352.712","3217",
"1718468352.713","2881",
"1718468352.714","3040",
"1718468352.715","3361",
"1718468352.716","1850",
"1718468352.717","2464",
"1718468352.718","723",
"1718468352.719","821",
"1718468352.72","647",
"1718468352.721","1939",
"1718468352.722","1251",
"1718468352.723","3080",
"1718468352.724","2534",
"1718468352.725","2192",
"1718468352.726","2792",
"1718468352.727","956",
"1718468352.728","1489",
"1718468352.729","642",
"1718468352.73","671",
"1718468352.731","1583",
"1718468352.732","2879",
"1718468352.733","2241",
"1718468352.734","3311",
"1718468352.735","3213",
"1718468352.736","2486",
"1718468352.737","3069",
"1718468352.738","1243",
"1718468352.739","1841",
"1718468352.74","653",
"1718468352.741","737",
"1718468352.742","1239",
"1718468352.743","779",
"1718468352.744","2559",
"1718468352.745","1957",
"1718468352.746","3364",
"1718468352.747","2770",
"1718468352.748","3184",
"1718468352.749","1474",
"1718468352.75","2182",
"1718468352.751","655",
"1718468352.752","994",
"1718468352.753","1040",
"1718468352.754","658",
"1718468352.755","2257",
"1718468352.756","1579",
"1718468352.757","3209",
"1718468352.758","2879",
"1718468352.759","3011",
"1718468352.76","3349",
"1718468352.761","1872",
"1718468352.762","769",
"1718468352.763","1184",
"1718468352.764","773",
"1718468352.765","635",
"1718468352.766","1891",
"1718468352.767","1301",
"1718468352.768","3083",
"1718468352.769","2551",
"1718468352.77","3250",
"1718468352.771","3294",
"1718468352.772","2164",
"1718468352.773","2770",
"1718468352.774","944",
"1718468352.775","695",
"1718468352.776","645",
"1718468352.777","1607",
"1718468352.778","958",
"1718468352.779","2854",
"1718468352.78","2219",
"1718468352.781","3271",
"1718468352.782","3251",
"1718468352.783","2519",
"1718468352.784","3054",
"1718468352.785","1232",
"1718468352.786","1808",
"1718468352.787","731",
"1718468352.788","1260",
"1718468352.789","833",
"1718468352.79","2539",
"1718468352.791","1939",
"1718468352.792","3361",
"1718468352.793","3071",
"1718468352.794","2832",
"1718468352.795","3200",
"1718468352.796","1501",
"1718468352.797","2165",
"1718468352.798","607",
"1718468352.799","961",
"1718468352.8","707",
"1718468352.801","2299",
"1718468352.804","2825",
"1718468352.813","2997",
"1718468352.814","3049",
"1718468352.815","2577",
"1718468352.816","3183",
"1718468352.817","3351",
"1718468352.818","2144",
"1718468352.819","2816",
"1718468352.82","987",
"1718468352.822","1534",
"1718468352.823","695",
"1718468352.824","1583",
"1718468352.825","1011",
"1718468352.827","2267",
"1718468352.828","3280",
"1718468352.829","2480",
"1718468352.83","3062",
"1718468352.831","1245",
"1718468352.832","1824",
"1718468352.833","637",
"1718468352.834","753",
"1718468352.835","1255",
"1718468352.836","803",
"1718468352.837","2532",
"1718468352.838","1938",
"1718468352.839","3275",
"1718468352.84","3095",
"1718468352.841","2796",
"1718468352.842","3240",
"1718468352.843","1558",
"1718468352.844","678",
"1718468352.845","922",
"1718468352.846","1023",
"1718468352.847","660",
"1718468352.848","2255",
"1718468352.849","1593",
"1718468352.85","3203",
"1718468352.851","2865",
"1718468352.852","3008",
"1718468352.853","3362",
"1718468352.854","1863",
"1718468352.855","2500",
"1718468352.856","779",
"1718468352.857","822",
"1718468352.864","592",
"1718468352.865","2162",
"1718468352.866","2812",
"1718468352.867","955",
"1718468352.868","1520",
"1718468352.869","681",
"1718468352.87","1615",
"1718468352.871","971",
"1718468352.874","2869",
"1718468352.875","3248",
"1718468352.876","2509",
"1718468352.879","1166",
"1718468352.88","609",
"1718468352.881","809",
"1718468352.882","1279",
"1718468352.883","798",
"1718468352.884","1904",
"1718468352.885","3344",
"1718468352.886","3058",
"1718468352.887","2816",
"1718468352.888","3190",
"1718468352.889","1524",
"1718468352.89","2145",
"1718468352.891","637",
"1718468352.892","947",
"1718468352.893","981",
"1718468352.894","685",
"1718468352.895","2226",
"1718468352.896","1633",
"1718468352.897","2877",
"1718468352.898","3011",
"1718468352.899","3355",
"1718468352.9","1857",
"1718468352.901","2496",
"1718468352.902","810",
"1718468352.903","1193",
"1718468352.904","839",
"1718468352.905","601",
"1718468352.906","1967",
"1718468352.907","1245",
"1718468352.908","3102",
"1718468352.909","2549",
"1718468352.91","3218",
"1718468352.911","3286",
"1718468352.912","2771",
"1718468352.913","942",
"1718468352.914","1530",
"1718468352.915","658",
"1718468352.916","655",
"1718468352.917","1573",
"1718468352.918","1019",
"1718468352.919","2831",
"1718468352.92","2289",
"1718468352.921","3298",
"1718468352.922","3267",
"1718468352.923","2484",
"1718468352.924","3052",
"1718468352.925","1216",
"1718468352.926","609",
"1718468352.927","795",
"1718468352.928","1273",
"1718468352.929","829",
"1718468352.93","2577",
"1718468352.931","1923",
"1718468352.932","3349",
"1718468352.933","3057",
"1718468352.934","2819",
"1718468352.935","3200",
"1718468352.936","1533",
"1718468352.937","2176",
"1718468352.938","656",
"1718468352.939","1015",
"1718468352.94","639",
"1718468352.941","2285",
"1718468352.942","1563",
"1718468352.943","3265",
"1718468352.944","2832",
"1718468352.945","3056",
"1718468352.946","3289",
"1718468352.947","1882",
"1718468352.948","2467",
"1718468352.949","793",
"1718468352.95","1172",
"1718468352.951","827",
"1718468352.952","1930",
"1718468352.953","1255",
"1718468352.954","3118",
"1718468352.955","2539",
"1718468352.956","3236",
"1718468352.957","3280",
"1718468352.958","2196",
"1718468352.959","2765",
"1718468352.96","981",
"1718468352.961","1484",
"1718468352.962","1605",
"1718468352.963","994",
"1718468352.964","2878",
"1718468352.965","2229",
"1718468352.966","3322",
"1718468352.967","3198",
"1718468352.968","2506",
"1718468352.969","3008",
"1718468352.97","1820",
"1718468352.971","643",
"1718468352.972","752",
"1718468352.973","1311",
"1718468352.974","789",
"1718468352.975","2594",
"1718468352.976","1871",
"1718468352.977","3357",
"1718468352.978","3031",
"1718468352.979","2824",
"1718468352.98","3179",
"1718468352.981","1546",
"1718468352.982","2146",
"1718468352.983","921",
"1718468352.984","1019",
"1718468352.985","630",
"1718468352.986","2299",
"1718468352.987","1551",
"1718468352.988","3275",
"1718468352.989","2800",
"1718468352.99","3062",
"1718468352.991","3286",
"1718468352.992","1860",
"1718468352.993","2466",
"1718468352.994","784",
"1718468352.995","1176",
"1718468352.996","611",
"1718468352.997","1925",
"1718468352.998","1267",
"1718468352.999","3088",
"1718468353","2547",
"1718468353.001","3205",
"1718468353.002","3313",
"1718468353.003","2166",
"1718468353.004","2800",
"1718468353.005","930",
"1718468353.006","1521",
"1718468353.007","656",
"1718468353.008","661",
"1718468353.009","1579",
"1718468353.01","1038",
"1718468353.011","2263",
"1718468353.012","3286",
"1718468353.013","3285",
"1718468353.014","2482",
"1718468353.015","3031",
"1718468353.016","1197",
"1718468353.017","1851",
"1718468353.018","612",
"1718468353.019","771",
"1718468353.02","1271",
"1718468353.021","803",
"1718468353.022","2595",
"1718468353.023","1904",
"1718468353.024","3343",
"1718468353.025","3039",
"1718468353.026","3168",
"1718468353.027","1546",
"1718468353.028","2148",
"1718468353.029","688",
"1718468353.03","928",
"1718468353.031","1008",
"1718468353.032","659",
"1718468353.033","2239",
"1718468353.034","1601",
"1718468353.035","3219",
"1718468353.036","2875",
"1718468353.037","2986",
"1718468353.038","3335",
"1718468353.039","1808",
"1718468353.04","752",
"1718468353.041","1238",
"1718468353.042","819",
"1718468353.043","629",
"1718468353.044","1937",
"1718468353.045","1261",
"1718468353.046","3101",
"1718468353.047","2535",
"1718468353.048","3246",
"1718468353.049","3293",
"1718468353.05","2198",
"1718468353.051","2752",
"1718468353.052","946",
"1718468353.053","656",
"1718468353.054","655",
"1718468353.055","1565",
"1718468353.056","1023",
"1718468353.057","2827",
"1718468353.058","2287",
"1718468353.059","3296",
"1718468353.06","3258",
"1718468353.061","2502",
"1718468353.062","3045",
"1718468353.063","1497",
"1718468353.064","2116",
"1718468353.065","658",
"1718468353.066","912",
"1718468353.067","667",
"1718468353.068","2291",
"1718468353.069","1651",
"1718468353.07","3263",
"1718468353.071","2915",
"1718468353.072","3043",
"1718468353.073","3271",
"1718468353.074","1836",
"1718468353.075","2402",
"1718468353.076","751",
"1718468353.077","1152",
"1718468353.078","799",
"1718468353.079","646",
"1718468353.08","1983",
"1718468353.081","3141",
"1718468353.082","2593",
"1718468353.083","3182",
"1718468353.084","3313",
"1718468353.085","2112",
"1718468353.086","2752",
"1718468353.087","882",
"1718468353.088","1472",
"1718468353.089","687",
"1718468353.09","670",
"1718468353.091","1671",
"1718468353.092","1043",
"1718468353.093","2919",
"1718468353.094","2271",
"1718468353.095","3329",
"1718468353.096","3223",
"1718468353.097","2964",
"1718468353.098","1152",
"1718468353.099","1809",
"1718468353.1","603",
"1718468353.101","779",
"1718468353.102","1331",
"1718468353.103","843",
"1718468353.104","2643",
"1718468353.105","1955",
"1718468353.106","3324",
"1718468353.107","3070",
"1718468353.108","2736",
"1718468353.109","3196",
"1718468353.11","1418",
"1718468353.111","626",
"1718468353.112","947",
"1718468353.113","1051",
"1718468353.114","681",
"1718468353.115","2331",
"1718468353.116","1618",
"1718468353.117","3291",
"1718468353.118","2845",
"1718468353.119","2998",
"1718468353.12","3280",
"1718468353.121","1776",
"1718468353.122","2464",
"1718468353.123","717",
"1718468353.124","847",
"1718468353.125","617",
"1718468353.126","1989",
"1718468353.127","1279",
"1718468353.128","3068",
"1718468353.129","2619",
"1718468353.13","3235",
"1718468353.131","3346",
"1718468353.132","2138",
"1718468353.133","2714",
"1718468353.134","896",
"1718468353.135","1473",
"1718468353.136","688",
"1718468353.137","1655",
"1718468353.138","1039",
"1718468353.139","2862",
"1718468353.14","2299",
"1718468353.141","3299",
"1718468353.142","3295",
"1718468353.143","2475",
"1718468353.144","2960",
"1718468353.145","1200",
"1718468353.146","1770",
"1718468353.147","613",
"1718468353.148","751",
"1718468353.149","1327",
"1718468353.15","861",
"1718468353.151","2623",
"1718468353.152","3317",
"1718468353.153","3102",
"1718468353.154","2712",
"1718468353.155","3218",
"1718468353.156","1441",
"1718468353.157","2154",
"1718468353.158","662",
"1718468353.159","933",
"1718468353.16","1069",
"1718468353.161","667",
"1718468353.162","2295",
"1718468353.163","1619",
"1718468353.164","3248",
"1718468353.165","2882",
"1718468353.166","2984",
"1718468353.167","3335",
"1718468353.168","2477",
"1718468353.169","759",
"1718468353.17","1169",
"1718468353.171","826",
"1718468353.172","597",
"1718468353.173","1949",
"1718468353.174","1339",
"1718468353.175","3126",
"1718468353.176","2631",
"1718468353.177","3230",
"1718468353.178","3312",
"1718468353.179","2112",
"1718468353.18","2741",
"1718468353.181","925",
"1718468353.182","709",
"1718468353.183","611",
"1718468353.184","1630",
"1718468353.185","1039",
"1718468353.186","2862",
"1718468353.187","2319",
"1718468353.188","3331",
"1718468353.189","3255",
"1718468353.19","2437",
"1718468353.191","2966",
"1718468353.192","1110",
"1718468353.193","1820",
"1718468353.194","628",
"1718468353.211","994",
"1718468353.212","2960",
"1718468353.213","3314",
"1718468353.214","1744",
"1718468353.215","2492",
"1718468353.216","721",
"1718468353.217","1200",
"1718468353.218","850",
"1718468353.219","621",
"1718468353.22","1975",
"1718468353.221","3063",
"1718468353.222","2627",
"1718468353.223","3154",
"1718468353.224","3376",
"1718468353.225","2131",
"1718468353.226","2758",
"1718468353.227","931",
"1718468353.228","1449",
"1718468353.229","669",
"1718468353.23","642",
"1718468353.231","1615",
"1718468353.232","1070",
"1718468353.233","2894",
"1718468353.234","2335",
"1718468353.235","3328",
"1718468353.236","3238",
"1718468353.237","2998",
"1718468353.238","1136",
"1718468353.239","1812",
"1718468353.24","641",
"1718468353.241","761",
"1718468353.242","1328",
"1718468353.243","795",
"1718468353.244","2575",
"1718468353.245","2007",
"1718468353.246","3343",
"1718468353.247","3117",
"1718468353.248","1434",
"1718468353.249","2176",
"1718468353.25","944",
"1718468353.251","1062",
"1718468353.252","683",
"1718468353.253","2320",
"1718468353.254","1611",
"1718468353.255","3234",
"1718468353.256","2891",
"1718468353.257","2973",
"1718468353.258","3344",
"1718468353.259","1784",
"1718468353.26","2466",
"1718468353.261","759",
"1718468353.262","1169",
"1718468353.263","593",
"1718468353.264","1939",
"1718468353.265","1315",
"1718468353.266","3090",
"1718468353.267","2643",
"1718468353.268","3200",
"1718468353.269","3312",
"1718468353.27","2138",
"1718468353.271","2721",
"1718468353.272","893",
"1718468353.273","1460",
